"","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1417761_at","1417761_at","apolipoprotein A-IV","Apoa4","11808","","","","Mus musculus apolipoprotein A-IV, mRNA (cDNA clone MGC:18592 IMAGE:4240796), complete cds",14789705,"BC010769",NA,NA,NA,"9 25.36 cM","Chromosome 9, NC_000075.6 (46240844..46243458)","antioxidant activity///cholesterol binding///cholesterol transporter activity///cholesterol transporter activity///copper ion binding///lipid binding///phosphatidylcholine binding///phosphatidylcholine binding///phosphatidylcholine-sterol O-acyltransferase activator activity///phosphatidylcholine-sterol O-acyltransferase activator activity///protein homodimerization activity","cholesterol biosynthetic process///cholesterol efflux///cholesterol efflux///cholesterol homeostasis///cholesterol homeostasis///cholesterol metabolic process///high-density lipoprotein particle assembly///hydrogen peroxide catabolic process///innate immune response in mucosa///innate immune response in mucosa///leukocyte cell-cell adhesion///lipid homeostasis///lipid transport///lipoprotein metabolic process///multicellular organism lipid catabolic process///negative regulation of plasma lipoprotein particle oxidation///neuron projection regeneration///phosphatidylcholine metabolic process///phosphatidylcholine metabolic process///phospholipid efflux///phospholipid efflux///positive regulation of cholesterol esterification///positive regulation of cholesterol esterification///positive regulation of fatty acid biosynthetic process///positive regulation of fatty acid biosynthetic process///positive regulation of lipoprotein lipase activity///positive regulation of lipoprotein lipase activity///positive regulation of triglyceride catabolic process///positive regulation of triglyceride catabolic process///protein-lipid complex assembly///regulation of cholesterol transport///regulation of intestinal cholesterol absorption///removal of superoxide radicals///response to lipid hydroperoxide///response to stilbenoid///reverse cholesterol transport///reverse cholesterol transport///transport///triglyceride catabolic process///triglyceride homeostasis///very-low-density lipoprotein particle remodeling///very-low-density lipoprotein particle remodeling","blood microparticle///blood microparticle///colocalizes_with cell surface///chylomicron///chylomicron///extracellular exosome///extracellular region///extracellular space///extracellular space///high-density lipoprotein particle///high-density lipoprotein particle///very-low-density lipoprotein particle","GO:0016209///GO:0015485///GO:0017127///GO:0017127///GO:0005507///GO:0008289///GO:0031210///GO:0031210///GO:0060228///GO:0060228///GO:0042803","GO:0006695///GO:0033344///GO:0033344///GO:0042632///GO:0042632///GO:0008203///GO:0034380///GO:0042744///GO:0002227///GO:0002227///GO:0007159///GO:0055088///GO:0006869///GO:0042157///GO:0044240///GO:0034445///GO:0031102///GO:0046470///GO:0046470///GO:0033700///GO:0033700///GO:0010873///GO:0010873///GO:0045723///GO:0045723///GO:0051006///GO:0051006///GO:0010898///GO:0010898///GO:0065005///GO:0032374///GO:0030300///GO:0019430///GO:0006982///GO:0035634///GO:0043691///GO:0043691///GO:0006810///GO:0019433///GO:0070328///GO:0034372///GO:0034372","GO:0072562///GO:0072562///colocalizes_with GO:0009986///GO:0042627///GO:0042627///GO:0070062///GO:0005576///GO:0005615///GO:0005615///GO:0034364///GO:0034364///GO:0034361",-1.6120752787811,9.83222148732393,-12.523309955106,3.25536969341242e-08,1.01764378623555e-05,9.46355691797634
"1422933_at","1422933_at","X-linked lymphocyte-regulated 5B///X-linked lymphocyte-regulated 5A///X-linked lymphocyte-regulated 5C","Xlr5b///Xlr5a///Xlr5c","627081///574438///27084","","","","Mus musculus X-linked lymphocyte-regulated 5C (Xlr5c), mRNA",13994145,"NM_031493",NA,NA,NA,"X///X A7.2///X 37.29 cM","Chromosome X, NC_000086.7 (73147383..73158886)///Chromosome X, NC_000086.7 (73107621..73119113, complement)///Chromosome X, NC_000086.7 (73283361..73293970, complement)","molecular_function///molecular_function///molecular_function","spermatid development///spermatid development///spermatid development","nucleus///nucleus///nucleus","GO:0003674///GO:0003674///GO:0003674","GO:0007286///GO:0007286///GO:0007286","GO:0005634///GO:0005634///GO:0005634",-1.93139887428332,5.85002179861241,-12.5176693941089,3.27173120339139e-08,1.01764378623555e-05,9.45866570329758
"1457741_at","1457741_at","predicted gene 12688","Gm12688","102639232","","","","AV377040 RIKEN full-length enriched, adult male cecum Mus musculus cDNA clone 9130221D14 3-, mRNA sequence",16398102,"AV377040",NA,NA,NA,"4 45.71 cM","Chromosome 4","","","","","","",-1.83038771774257,6.06926058687371,-12.4167199618541,3.58005524598762e-08,1.09839504523325e-05,9.37073993827552
"1442095_at","1442095_at","additional sex combs like 3 (Drosophila)","Asxl3","211961","","","","BB528113 RIKEN full-length enriched, 15 days embryo head Mus musculus cDNA clone D930044O18 3-, mRNA sequence",16444590,"BB528113",NA,NA,NA,"18 A2","Chromosome 18, NC_000084.6 (22344197..22530227)","DNA binding///metal ion binding///molecular_function","biological_process///regulation of transcription, DNA-templated///transcription, DNA-templated","cellular_component///nucleus","GO:0003677///GO:0046872///GO:0003674","GO:0008150///GO:0006355///GO:0006351","GO:0005575///GO:0005634",-1.19412076354952,6.5725840298811,-12.3730058783353,3.72316346864994e-08,1.13458375405122e-05,9.33243644735949
"1447831_s_at","1447831_s_at","myotubularin related protein 7","Mtmr7","54384","","","","BB431693 RIKEN full-length enriched, adult male hippocampus Mus musculus cDNA clone C630040D22 3-, mRNA sequence",9271420,"BB431693",NA,NA,NA,"8 B1.2","Chromosome 8, NC_000074.6 (40550143..40634923, complement)","5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity///IDP phosphatase activity///JUN kinase phosphatase activity///MAP kinase tyrosine/serine/threonine phosphatase activity///NADP phosphatase activity///hydrolase activity///inositol bisphosphate phosphatase activity///inositol phosphate phosphatase activity///inositol-1,3,4,5,6-pentakisphosphate 1-phosphatase activity///inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity///inositol-1,3,4,6-tetrakisphosphate 1-phosphatase activity///inositol-1,3,4,6-tetrakisphosphate 6-phosphatase activity///inositol-1,3,4-trisphosphate 1-phosphatase activity///inositol-1,3,4-trisphosphate 4-phosphatase activity///inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity///inositol-3,4-bisphosphate 4-phosphatase activity///inositol-4,5-bisphosphate 5-phosphatase activity///phosphatase activity///phosphatidylinositol phosphate phosphatase activity///phosphatidylinositol-1,4,5-trisphosphate 5-phosphatase activity///phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity///phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity///phosphatidylinositol-4-phosphate phosphatase activity///phosphohistidine phosphatase activity///protein binding///protein tyrosine phosphatase activity///protein tyrosine/serine/threonine phosphatase activity///protein tyrosine/threonine phosphatase activity///transmembrane receptor protein phosphatase activity","dephosphorylation///inositol phosphate dephosphorylation///phosphatidylinositol dephosphorylation","cytoplasm///cytosol///membrane","GO:0043726///GO:1990003///GO:0008579///GO:0017017///GO:0019178///GO:0016787///GO:0016312///GO:0052745///GO:0052825///GO:0030351///GO:0052831///GO:0052830///GO:0052829///GO:0017161///GO:0030352///GO:0052828///GO:0030487///GO:0016791///GO:0052866///GO:0052867///GO:0052629///GO:0043813///GO:0043812///GO:0008969///GO:0005515///GO:0004725///GO:0008138///GO:0008330///GO:0019198","GO:0016311///GO:0046855///GO:0046856","GO:0005737///GO:0005829///GO:0016020",-1.75201257475832,6.88861487603015,-12.2909017121101,4.00889786232551e-08,1.19738610919697e-05,9.26011700756017
"1437621_x_at","1437621_x_at","3-phosphoglycerate dehydrogenase","Phgdh","236539","","","","",NA,"",NA,NA,NA,"3 E1","Chromosome 3, NC_000069.6 (98313171..98339969, complement)","NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity","G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///serine family amino acid biosynthetic process///spinal cord development///taurine metabolic process///threonine metabolic process","extracellular exosome///myelin sheath","GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617","GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0009070///GO:0021510///GO:0019530///GO:0006566","GO:0070062///GO:0043209",-1.3542045378198,11.4411651722628,-12.2665233982801,4.09822376399757e-08,1.21590318605636e-05,9.23854854487494
"1419399_at","1419399_at","microsomal triglyceride transfer protein","Mttp","17777","","","","L0230A03-3 NIA Mouse Newborn Ovary cDNA Library Mus musculus cDNA clone L0230A03 3-, mRNA sequence",31568973,"AW553649",NA,NA,NA,"3 64.06 cM","Chromosome 3, NC_000069.6 (138089855..138143461, complement)","apolipoprotein binding///lipid binding///lipid transporter activity///lipid transporter activity///phospholipid transporter activity///protein binding///protein heterodimerization activity","cholesterol homeostasis///cholesterol metabolic process///circadian rhythm///lipid metabolic process///lipid transport///lipoprotein metabolic process///lipoprotein metabolic process///lipoprotein transport///lipoprotein transport///phospholipid transport///plasma lipoprotein particle assembly///protein lipidation///steroid metabolic process///transport///triglyceride metabolic process///triglyceride transport","Golgi apparatus///Golgi apparatus///basolateral plasma membrane///brush border membrane///endoplasmic reticulum///endoplasmic reticulum///membrane-bounded vesicle///microvillus membrane///receptor complex///rough endoplasmic reticulum","GO:0034185///GO:0008289///GO:0005319///GO:0005319///GO:0005548///GO:0005515///GO:0046982","GO:0042632///GO:0008203///GO:0007623///GO:0006629///GO:0006869///GO:0042157///GO:0042157///GO:0042953///GO:0042953///GO:0015914///GO:0034377///GO:0006497///GO:0008202///GO:0006810///GO:0006641///GO:0034197","GO:0005794///GO:0005794///GO:0016323///GO:0031526///GO:0005783///GO:0005783///GO:0031988///GO:0031528///GO:0043235///GO:0005791",-1.1377949078121,6.56371125474669,-12.2373362740817,4.2080014659562e-08,1.22441983300704e-05,9.21266775728732
"1424930_s_at","1424930_s_at","family with sequence similarity 83, member F","Fam83f","213956","","","","Mus musculus family with sequence similarity 83, member F, mRNA (cDNA clone MGC:27770 IMAGE:3153977), complete cds",19116229,"BC016600",NA,NA,NA,"15 E1","Chromosome 15, NC_000081.6 (80671847..80700425)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.19891849898266,5.59238986847624,-12.1955714121182,4.37063481471884e-08,1.24759494163693e-05,9.175524118187
"1421788_x_at","1421788_x_at","epidermal growth factor binding protein type B","Egfbp2","13647","","","","Mus musculus epidermal growth factor binding protein type B (Egfbp2), mRNA",402244287,"NM_010115",NA,NA,NA,"7","Chromosome 7","hydrolase activity///peptidase activity///serine-type endopeptidase activity///serine-type peptidase activity","proteolysis///zymogen activation","extracellular space","GO:0016787///GO:0008233///GO:0004252///GO:0008236","GO:0006508///GO:0031638","GO:0005615",-1.45975090490083,6.15298513813557,-12.1692692900319,4.4765240197813e-08,1.25401061997613e-05,9.15206561849136
"1451194_at","1451194_at","aldolase B, fructose-bisphosphate","Aldob","230163","","","","Mus musculus aldolase B, fructose-bisphosphate, mRNA (cDNA clone MGC:36398 IMAGE:5102118), complete cds",18848232,"BC024112",NA,NA,NA,"4 26.57 cM","Chromosome 4, NC_000070.6 (49535993..49549546, complement)","ATPase binding///catalytic activity///cytoskeletal protein binding///fructose binding///fructose-1-phosphate aldolase activity///fructose-1-phosphate aldolase activity///fructose-bisphosphate aldolase activity///fructose-bisphosphate aldolase activity///fructose-bisphosphate aldolase activity///identical protein binding///lyase activity///phosphatidylcholine binding","NADH oxidation///fructose 1,6-bisphosphate metabolic process///fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate///fructose metabolic process///glycolytic process///glycolytic process through fructose-1-phosphate///glycolytic process through fructose-6-phosphate///positive regulation of ATPase activity///response to peptide hormone///response to zinc ion///vacuolar proton-transporting V-type ATPase complex assembly","centriolar satellite///cytoplasm///cytoskeleton///cytosol///extracellular exosome///intracellular membrane-bounded organelle///lysosome///microtubule organizing center///nucleus///perinuclear region of cytoplasm///plasma membrane///rough endoplasmic reticulum membrane///smooth endoplasmic reticulum membrane","GO:0051117///GO:0003824///GO:0008092///GO:0070061///GO:0061609///GO:0061609///GO:0004332///GO:0004332///GO:0004332///GO:0042802///GO:0016829///GO:0031210","GO:0006116///GO:0030388///GO:0061624///GO:0006000///GO:0006096///GO:0061625///GO:0061615///GO:0032781///GO:0043434///GO:0010043///GO:0070072","GO:0034451///GO:0005737///GO:0005856///GO:0005829///GO:0070062///GO:0043231///GO:0005764///GO:0005815///GO:0005634///GO:0048471///GO:0005886///GO:0030867///GO:0030868",-1.24665682001432,9.10091112596955,-12.0974780022274,4.7798764184575e-08,1.32255954815246e-05,9.08777225170141
"1450719_at","1450719_at","meprin 1 alpha","Mep1a","17287","","","","Mus musculus meprin 1 alpha (Mep1a), mRNA",31982198,"NM_008585",NA,NA,NA,"17 C1-D1","Chromosome 17, NC_000083.6 (43474324..43504141, complement)","hydrolase activity///metal ion binding///metalloendopeptidase activity///metallopeptidase activity///peptidase activity///zinc ion binding","proteolysis","extracellular exosome///integral component of membrane///membrane///meprin A complex","GO:0016787///GO:0046872///GO:0004222///GO:0008237///GO:0008233///GO:0008270","GO:0006508","GO:0070062///GO:0016021///GO:0016020///GO:0017090",-1.02858028381061,8.73056498926809,-12.0354566292697,5.05981455209821e-08,1.37265378684808e-05,9.03191566473744
"1455963_at","1455963_at","transmembrane protein 229A","Tmem229a","319832","","","","AV317707 RIKEN full-length enriched, adult male thymus Mus musculus cDNA clone 5832434N19 3-, mRNA sequence",16394616,"AV317707",NA,NA,NA,"6 A3.1","Chromosome 6, NC_000072.6 (24951141..24956125, complement)","molecular_function","biological_process","cellular_component///integral component of membrane///membrane","GO:0003674","GO:0008150","GO:0005575///GO:0016021///GO:0016020",-1.32170238514742,5.4917867593596,-12.0160291727655,5.15109697546024e-08,1.38285490887043e-05,9.01435925878846
"1435339_at","1435339_at","potassium channel tetramerisation domain containing 15","Kctd15","233107","","","","BB091366 RIKEN full-length enriched, 12 days embryo, embryonic body between diaphragm region and neck Mus musculus cDNA clone 9430029O06 3-, mRNA sequence",16261071,"BB091366",NA,NA,NA,"7 B1","Chromosome 7, NC_000073.6 (34639015..34655509, complement)","molecular_function","biological_process///multicellular organism development///protein homooligomerization","cellular_component","GO:0003674","GO:0008150///GO:0007275///GO:0051260","GO:0005575",-1.15122334998307,8.60973568500485,-12.0064742446959,5.19664171540324e-08,1.38682685210888e-05,9.0057140242231
"1422706_at","1422706_at","prostate transmembrane protein, androgen induced 1","Pmepa1","65112","","","","AV370981 RIKEN full-length enriched mouse cDNA library, C57BL/6J colon male adult Mus musculus cDNA clone 9030406G08 3-, mRNA sequence",15406809,"AV370981",NA,NA,NA,"2 H3","Chromosome 2, NC_000068.7 (173224458..173276533, complement)","R-SMAD binding///WW domain binding///protein binding","negative regulation of SMAD protein complex assembly///negative regulation of pathway-restricted SMAD protein phosphorylation///negative regulation of pathway-restricted SMAD protein phosphorylation///negative regulation of signal transduction///negative regulation of transforming growth factor beta receptor signaling pathway///negative regulation of transforming growth factor beta receptor signaling pathway","Golgi apparatus///Golgi membrane///early endosome membrane///endosome///endosome membrane///integral component of membrane///intracellular membrane-bounded organelle///membrane///nucleoplasm","GO:0070412///GO:0050699///GO:0005515","GO:0010991///GO:0060394///GO:0060394///GO:0009968///GO:0030512///GO:0030512","GO:0005794///GO:0000139///GO:0031901///GO:0005768///GO:0010008///GO:0016021///GO:0043231///GO:0016020///GO:0005654",-1.30281097034863,6.9420366798394,-11.9685957621445,5.38151056460813e-08,1.41688526113893e-05,8.97137327603205
"1424600_at","1424600_at","amine oxidase, copper-containing 1","Aoc1","76507","","","","Mus musculus amiloride binding protein 1 (amine oxidase, copper-containing), mRNA (cDNA clone MGC:28601 IMAGE:4216952), complete cds",18257349,"BC021880",NA,NA,NA,"6 23.78 cM","Chromosome 6, NC_000072.6 (48895255..48909187)","D-lysine oxidase activity///aspartate oxidase activity///calcium ion binding///copper ion binding///diamine oxidase activity///drug binding///heparin binding///histamine oxidase activity///metal ion binding///methylputrescine oxidase activity///oxidoreductase activity///primary amine oxidase activity///propane-1,3-diamine oxidase activity///protein complex binding///protein homodimerization activity///quinone binding///receptor activity///zinc ion binding","amiloride transport///amine metabolic process///cellular response to azide///cellular response to copper ion///cellular response to copper ion starvation///cellular response to histamine///oxidation-reduction process///response to antibiotic///response to drug","bicellular tight junction///extracellular exosome///extracellular region///extracellular space///plasma membrane","GO:0043912///GO:0015922///GO:0005509///GO:0005507///GO:0052597///GO:0008144///GO:0008201///GO:0052598///GO:0046872///GO:0052599///GO:0016491///GO:0008131///GO:0052600///GO:0032403///GO:0042803///GO:0048038///GO:0004872///GO:0008270","GO:0015898///GO:0009308///GO:0097185///GO:0071280///GO:0035874///GO:0071420///GO:0055114///GO:0046677///GO:0042493","GO:0005923///GO:0070062///GO:0005576///GO:0005615///GO:0005886",-1.381859373343,9.3662390463433,-11.9277497128871,5.58883476777801e-08,1.44863239575607e-05,8.93421900117838
"1416055_at","1416055_at","amylase 2a2///amylase 2a3///amylase 2a4///amylase 2a1///amylase 2a5","Amy2a2///Amy2a3///Amy2a4///Amy2a1///Amy2a5","100043688///100043686///100043684///100043207///109959","","","","Mus musculus amylase 2a5 (Amy2a5), mRNA",142356897,"NM_001042711",NA,NA,NA,"3///3///3///3 49.35 cM///3 49.35 cM","Chromosome 3, NC_000069.6 (113345049..113356658, complement)///Chromosome 3, NC_000069.6 (113312449..113324052, complement)///Chromosome 3, NC_000069.6 (113279837..113291449, complement)///Chromosome 3, NC_000069.6 (113528095..113532428, complement)///Chromosome 3, NC_000069.6 (113249178..113258699, complement)","alpha-amylase activity///alpha-amylase activity///alpha-amylase activity///molecular_function///alpha-amylase activity///amylase activity","biological_process///biological_process///biological_process///biological_process","extracellular exosome///extracellular exosome///extracellular exosome///cellular_component///extracellular exosome///extracellular space","GO:0004556///GO:0004556///GO:0004556///GO:0003674///GO:0004556///GO:0016160","GO:0008150///GO:0008150///GO:0008150///GO:0008150","GO:0070062///GO:0070062///GO:0070062///GO:0005575///GO:0070062///GO:0005615",-1.83797105369463,5.14605997262459,-11.8676897334747,5.90947156780422e-08,1.50220449617035e-05,8.87935406558727
"1417071_s_at","1417071_s_at","cytochrome P450, family 4, subfamily v, polypeptide 3","Cyp4v3","102294","","","","Mus musculus cytochrome P450, family 4, subfamily v, polypeptide 3 (Cyp4v3), mRNA",118129905,"NM_133969",NA,NA,NA,"8 B1.1","Chromosome 8, NC_000074.6 (45305802..45333196, complement)","1-hydroxy-2-naphthoate hydroxylase activity///1-hydroxy-2-oxolimonene 1,2-monooxygenase activity///1-methylnaphthalene hydroxylase activity///2-hydroxy-phenylacetate hydroxylase activity///2-methylnaphthalene hydroxylase activity///2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase activity///2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity///3,5-xylenol methylhydroxylase activity///3-(3-hydroxyphenyl)propionate hydroxylase activity///3-HSA hydroxylase activity///3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity///4-chlorobenzaldehyde oxidase activity///4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity///4-hydroxypyridine-3-hydroxylase activity///4-nitrophenol 4-monooxygenase activity///6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity///6-hydroxynicotinate 3-monooxygenase activity///alpha-pinene monooxygenase [NADH] activity///bisphenol A hydroxylase A activity///branched-chain dodecylbenzene sulfonate monooxygenase activity///carbon disulfide oxygenase activity///chlorophenol 4-monooxygenase activity///dibenzothiophene monooxygenase activity///dimethyl sulfide monooxygenase activity///heme binding///iron ion binding///isobutylamine N-hydroxylase activity///limonene monooxygenase activity///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen///phenanthrene 1,2-monooxygenase activity///phenanthrene 3,4-monooxygenase activity///phenanthrene 9,10-monooxygenase activity///phenylacetate hydroxylase activity///salicylate 5-hydroxylase activity///styrene monooxygenase activity///tetrahydrofuran hydroxylase activity///thalianol hydroxylase activity///tocotrienol omega-hydroxylase activity///toluene 2-monooxygenase activity///toluene 3-monooxygenase activity///toluene 4-monooxygenase activity///toluene-4-sulfonate monooxygenase activity///toluene-sulfonate methyl-monooxygenase activity///xylene monooxygenase activity","fatty acid omega-oxidation///lipid metabolic process///oxidation-reduction process","cellular_component///endoplasmic reticulum///integral component of membrane///membrane","GO:0018637///GO:0018646///GO:0034534///GO:0018654///GO:0034526///GO:0043719///GO:0018655///GO:0018630///GO:0008688///GO:0034819///GO:0018653///GO:0018471///GO:0018660///GO:0034894///GO:0018632///GO:0018641///GO:0043731///GO:0018634///GO:0034560///GO:0034802///GO:0018643///GO:0018642///GO:0018640///GO:0018633///GO:0020037///GO:0005506///GO:0034791///GO:0019113///GO:0046872///GO:0004497///GO:0016491///GO:0016705///GO:0018647///GO:0018656///GO:0018636///GO:0018631///GO:0034785///GO:0018650///GO:0018649///GO:0080014///GO:0052872///GO:0018644///GO:0018657///GO:0018638///GO:0018651///GO:0018652///GO:0018639","GO:0010430///GO:0006629///GO:0055114","GO:0005575///GO:0005783///GO:0016021///GO:0016020",-1.09776183566523,7.51409648206545,-11.8283836674132,6.1300083383125e-08,1.53594170036796e-05,8.84329665871158
"1427374_at","1427374_at","mucin 3, intestinal","Muc3","666339","","","","Mus musculus mucin glycoprotein MUC3 mRNA, partial cds",2583091,"AF027131",NA,NA,NA,"5 76.22 cM","Chromosome 5, NC_000071.6 (137134924..137166048, complement)","","biological_process","apical plasma membrane///apical plasma membrane///cytoplasm///microvillus","","GO:0008150","GO:0016324///GO:0016324///GO:0005737///GO:0005902",-1.63900123271221,7.6351942451938,-11.7733269977841,6.45395653625955e-08,1.58871344368952e-05,8.79258804119032
"1451095_at","1451095_at","asparagine synthetase","Asns","27053","","","","Mus musculus asparagine synthetase, mRNA (cDNA clone MGC:5995 IMAGE:3585775), complete cds",13542689,"BC005552",NA,NA,NA,"6 A1","Chromosome 6, NC_000072.6 (7675165..7693182, complement)","ATP binding///asparagine synthase (glutamine-hydrolyzing) activity///asparagine synthase (glutamine-hydrolyzing) activity///cofactor binding///ligase activity///nucleotide binding///protein homodimerization activity///protein homodimerization activity","asparagine biosynthetic process///asparagine biosynthetic process///cellular amino acid biosynthetic process///cellular response to glucose starvation///glutamine metabolic process///negative regulation of apoptotic process///positive regulation of mitotic cell cycle","cytosol","GO:0005524///GO:0004066///GO:0004066///GO:0048037///GO:0016874///GO:0000166///GO:0042803///GO:0042803","GO:0006529///GO:0006529///GO:0008652///GO:0042149///GO:0006541///GO:0043066///GO:0045931","GO:0005829",-1.02265412344535,7.97640161704573,-11.6893244078335,6.9842851523477e-08,1.69353894976362e-05,8.71476112934593
"1440564_at","1440564_at","prokineticin receptor 2","Prokr2","246313","","","","BB023274 RIKEN full-length enriched mouse cDNA library, C57BL/6J pituitary gland male adult Mus musculus cDNA clone 5330415A01 3-, mRNA sequence",15403412,"BB023274",NA,NA,NA,"2 F2","Chromosome 2, NC_000068.7 (132369705..132385501, complement)","G-protein coupled receptor activity///G-protein coupled receptor activity///neuropeptide Y receptor activity///signal transducer activity","G-protein coupled receptor signaling pathway///cell surface receptor signaling pathway///circadian rhythm///signal transduction","integral component of membrane///integral component of plasma membrane///membrane///plasma membrane","GO:0004930///GO:0004930///GO:0004983///GO:0004871","GO:0007186///GO:0007166///GO:0007623///GO:0007165","GO:0016021///GO:0005887///GO:0016020///GO:0005886",-1.25806680388535,8.68854794258541,-11.6621636064079,7.16565519023966e-08,1.71277922665209e-05,8.68947786366017
"1449385_at","1449385_at","hydroxysteroid (17-beta) dehydrogenase 6","Hsd17b6","27400","","","","Mus musculus hydroxysteroid (17-beta) dehydrogenase 6 (Hsd17b6), mRNA",23680951,"NM_013786",NA,NA,NA,"10 D3","Chromosome 10, NC_000076.6 (127990933..128007632, complement)","estradiol 17-beta-dehydrogenase activity///oxidoreductase activity///retinol dehydrogenase activity///testosterone dehydrogenase (NAD+) activity","lipid metabolic process///oxidation-reduction process///steroid metabolic process","endoplasmic reticulum///endosome///intracellular membrane-bounded organelle///membrane","GO:0004303///GO:0016491///GO:0004745///GO:0047035","GO:0006629///GO:0055114///GO:0008202","GO:0005783///GO:0005768///GO:0043231///GO:0016020",-1.9169794925788,6.90524385191974,-11.6300967941416,7.38634185796769e-08,1.73505939654271e-05,8.65955226859439
